"Timestamp","My role at university is:","1. Do you read emails that you receive from the Center for Civic Engagement (CCE)?","2. I find the next words attractive in the email title:","3. The optimal word count for an email title is:","4. Do you find emojis in an email title appropriate?","5. The optimal word count for an email body is:","6. Do you find colored parts of text in an email body appropriate?","7. The optimal link placement in an email is:","8. I'd prefer to receive the information and materials:","1.1 About which specific topics do you read emails from Center for Civic Engagement (CCE)?","8.1 Where would you like to see images/posters within the email body?","9. I prefer to receive event-reminders:","10. A good email should have:","11. Rate your agreement with the following statements regarding emails from the Center for Civic Engagement (CCE): [Important deadlines are clearly highlighted]","11. Rate your agreement with the following statements regarding emails from the Center for Civic Engagement (CCE): [The formatting makes information easy to read]","11. Rate your agreement with the following statements regarding emails from the Center for Civic Engagement (CCE): [I find emails from CCE engaging]","11. Rate your agreement with the following statements regarding emails from the Center for Civic Engagement (CCE): [I don't miss out on any valuable opportunities (volunteering, internships, etc.)]","11. Rate your agreement with the following statements regarding emails from the Center for Civic Engagement (CCE): [Overall, I am satisfied with the current mailing system]","12. If you have any suggestions, please write them down:
"
"2026/03/18 2:01:53 PM GMT+6","Staff","Only specific ones","Event;Invitation","From 5 to 7 words","Yes","From 101 to 150 words","Yeah, I like this format","At the beginning","Within the email body","Green AUCA;Newsletter;Upcoming events","At the beginning","A few days before the event (from 3 to 5 days);A day before the event","Registration button;Contact information of the sender","Strongly Agree","Strongly Agree","Agree","Agree","Agree",""
"2026/03/18 2:15:33 PM GMT+6","Student","All of them","Internship;Opportunity;Volunteering;Job","From 3 to 5 words","Yes","From 50 to 100 words","Nah, it distracts me","In the part with links only","Within the email body","","At the end","A week before the event;A few days before the event (from 3 to 5 days);A day before the event;A few hours before the event (from 1 to 6 hours)","Clear subject line;Registration button","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree",""
"2026/03/18 3:15:20 PM GMT+6","Student","Only specific ones","Internship;Opportunity;Volunteering","From 3 to 5 words","No","From 101 to 150 words","It's alright","In the middle","With attached files (posters, photos, and etc.)","Volunteering;Internships;Upcoming events","","A few days before the event (from 3 to 5 days);A day before the event","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Agree","Strongly Agree","Disagree","Disagree","Agree",""
"2026/03/18 3:54:49 PM GMT+6","Student","Sometimes","Event;Opportunity;Job","From 3 to 5 words","Yes","From 50 to 100 words","It's alright","At the beginning","With attached files (posters, photos, and etc.)","","","A week before the event","Clear subject line","Agree","Agree","Disagree","Strongly Disagree","Agree",""
"2026/03/18 4:10:13 PM GMT+6","Student","Sometimes","Event;Internship;Opportunity;Job","From 5 to 7 words","Yes","From 101 to 150 words","It's alright","At the end","With attached files (posters, photos, and etc.)","","","A few days before the event (from 3 to 5 days);A day before the event;A few hours before the event (from 1 to 6 hours)","Clear subject line;Contact information of the sender;Relevant attachments/images","Agree","Agree","Agree","Disagree","Agree",""
"2026/03/18 4:17:39 PM GMT+6","Student","Sometimes","Opportunity;Job","From 3 to 5 words","No","From 50 to 100 words","Yeah, I like this format","In the part with links only","With attached files (posters, photos, and etc.)","","","A few days before the event (from 3 to 5 days);A few hours before the event (from 1 to 6 hours)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Agree","Agree","Disagree","Disagree","Agree",""
"2026/03/18 4:54:34 PM GMT+6","Student","Only specific ones","Event;Volunteering","From 3 to 5 words","No","From 50 to 100 words","It's alright","At the end","With attached files (posters, photos, and etc.)","Volunteering;Upcoming events","","A week before the event;A few days before the event (from 3 to 5 days)","Clear subject line;Registration button","Strongly Agree","Agree","Agree","Strongly Disagree","Agree",""
"2026/03/18 9:29:07 PM GMT+6","Student","Sometimes","Internship;Opportunity;Job","From 3 to 5 words","Yes","From 101 to 150 words","It's alright","In the part with links only","With attached files (posters, photos, and etc.)","","","A few days before the event (from 3 to 5 days);A day before the event","Clear subject line","Agree","Disagree","Strongly Disagree","Disagree","Agree",""
"2026/03/20 11:54:34 AM GMT+6","Student","Sometimes","Event;Internship;Volunteering;Job","From 3 to 5 words","No","From 101 to 150 words","It's alright","In the part with links only","With attached files (posters, photos, and etc.)","","","A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Contact information of the sender","Strongly Agree","Strongly Agree","Agree","Agree","Agree",""
"2026/03/22 8:37:39 PM GMT+6","Student","Sometimes","Invitation","From 3 to 5 words","No","From 50 to 100 words","Yeah, I like this format","At the end","With attached files (posters, photos, and etc.)","","","A week before the event;A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Contact information of the sender","Disagree","Agree","Agree","Disagree","Disagree",""
"2026/03/22 8:48:27 PM GMT+6","Student","Most of them","Internship;Opportunity;Volunteering;Job;Invitation;Newsletter","From 5 to 7 words","No","From 50 to 100 words","It's alright","At the end","With attached files (posters, photos, and etc.)","","","A week before the event","Clear subject line;Registration button;Contact information of the sender","Agree","Agree","Agree","Agree","Agree",""
"2026/03/22 8:52:29 PM GMT+6","Student","All of them","Event;Internship;Opportunity;Volunteering;Job","From 5 to 7 words","No","From 50 to 100 words","Yeah, I like this format","In the part with links only","With attached files (posters, photos, and etc.)","","","A few days before the event (from 3 to 5 days)","Clear subject line","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",""
"2026/03/22 9:01:21 PM GMT+6","Student","Only specific ones","Internship;Opportunity;Job;Newsletter","From 3 to 5 words","No","From 101 to 150 words","Yeah, I like this format","At the end","With attached files (posters, photos, and etc.)","Newsletter;Internships;Upcoming events","","A few days before the event (from 3 to 5 days)","Clear subject line;Registration button;Contact information of the sender;Relevant attachments/images","Agree","Agree","Disagree","Disagree","Agree",""
